0,78,9223372036854775807,3
15,20,12,75
24,22,11,41
1,1552,1,48
11,30,11,54
40,34,23,219
43,39,17,566
38,43,24,300
28,45,28,1272
26,51,25,2063
29,61,13,8602
60,75,37,16917
47,47,30,2605
80,59,28,45960
0,17,9223372036854775807,3
7,18,7,47
5,67,5,42
24,18,24,31
32781,20,6,30
15,37,17,416
7,39,7,64
23,31,46,91
9,32,9,544
20,37,12,10330
35,60,32,9005
30,145,18,19995
36,48,21,430
54,56,22,182543
0,14,9223372036854775807,2
17,13,17,28
45,16,23,27
37,16,22,30
27,19,27,33
51,22,37,137
56,34,36,160
34,28,17,201
23,39,16,457
46,36,40,6925
49,38,17,620
536870959,45,26,1969
37,48,28,901
84,57,26,15403
0,19,9223372036854775807,4
28,19,28,44
28,46,28,41
13,26,13,46
17,29,17,50
52,34,12,216
85,39,38,241
3,40,3,69
73,48,31,1222
86,54,20,4188
61,57,41,6782
68,65,35,13716
35,82,33,21697
524358,91,28,25319
0,19,9223372036854775807,3
31,19,6,46
5,22,5,42
29,26,22,46
30,27,12,52
40,34,39,771
30,40,15,651
37,79,16,624
23,50,18,711
52,51,30,2142
30,60,26,430
11,64,10,541
72,82,31,7728
70,77,17,1464
0,20,9223372036854775807,3
32,18,32,42
59,24,32,40
52,25,34,51
47,30,34,61
81,36,49,211
83,39,39,254
76,43,30,317
76,50,30,768
67,54,25,10873
74,68,39,5196
91,69,34,19800
78,71,44,108
125,77,47,323416
0,20,9223372036854775807,3
8,20,8,47
29,22,12,41
4,25,4,46
20,29,20,42
35,35,10,228
34,38,7,65
19,42,19,311
18,56,18,736
34,68,13,10884
28,56,11,488
21,62,21,714
1342177294,76,16,650
18,79,30,303613
0,19,9223372036854775807,4
29,20,29,45
45,22,27,41
-2147483625,24,9223372036854775807,8
32,29,22,52
17,32,12,58
60,37,38,251
24,44,24,279
15,48,19,718
23,53,10,852
39,57,36,12764
57,70,7,12733
48,72,25,629
129,81,40,23213
0,19,9223372036854775807,2
34,17,33,35
3,40,3,28
13,24,13,125
1952591723,26,16,51
42,37,17,431
18,26,18,166
11,43,13,658
14,50,14,597
58,59,30,413
35,47,22,12431
38,64,33,13782
42,72,41,15703
43,55,47,280307
0,20,9223372036854775807,3
39,19,11,42
10,22,10,40
30,26,14,46
33,29,29,51
38,33,26,209
24,39,24,253
10,45,10,72
17,49,17,364
46,52,12,9546
25,71,26,8096
131129,73,31,3079
40,67,19,665
55,82,39,4459
0,20,9223372036854775807,5
3,19,9223372036854775807,12
3,22,3,47
30,26,28,45
21,27,21,49
65,36,28,454
65,40,28,254
32,43,22,594
31,49,29,732
37,53,24,2257
45,62,33,2728
90,66,20,5919
37,49,43,2631
63,86,36,141036
0,21,9223372036854775807,4
9,18,9,43
10,24,10,40
28,28,13,74
15,31,11,57
47,34,15,489
15,39,15,61
32,300,20,767
25,51,19,368
89,56,28,8224
29,62,16,940
64,65,32,7354
35,68,32,20763
77,81,41,575963
0,21,9223372036854775807,3
8,19,8,47
6,23,6,42
12,26,12,46
8,27,8,51
46,40,26,450
41,40,38,906
39,45,20,300
58,69,32,719
42,54,12,10309
40,63,25,3194
39,65,15,12465
30,73,31,646
71,93,14,505130
0,20,9223372036854775807,3
31,19,31,47
25,22,25,40
50,26,23,45
26,28,26,51
31,30,31,323
47,32,27,396
8,43,8,69
1,47,1,75
44,53,38,7012
46,68,40,6803
70,69,31,2906
50,85,18,1281
87,90,58,111986
