28,102,21,30097
35,77,24,24519
27,59,12,22102
33,49,14,20459
33,48,17,25080
21,72,21,34508
34,47,22,25557
26,67,17,32996
21,69,21,24881
49,50,25,20570
26,49,13,27277
28,111,18,23482
32,47,31,18473
34,77,31,20143
27,44,15,19078
-------------------------------
33,50,26,15923
27,47,27,16203
44,46,18,15525
52,45,32,15951
37,45,21,15477
36,45,23,15786
39,46,29,17591
30,46,16,16167
44,46,25,20260
40,73,25,22241
39,68,25,26096
31,73,20,24306
48,67,27,23103
38,69,29,25411
72,73,42,19795
-------------------------------
